,first_reporting
95839,XOSS
95875,ZTF
95901,ASAS-SN
95921,ASAS-SN
95922,GaiaAlerts
95931,DLT40
95940,SNHunt
95944,ASAS-SN
95945,ASAS-SN
95953,DLT40
96053,ASAS-SN
96107,ISSP
96163,ATLAS
96181,TNTS
96184,GaiaAlerts
96202,ASAS-SN
96219,ATLAS
96298,SNHunt
96309,ATLAS
96323,GaiaAlerts
96337,GaiaAlerts
96347,DLT40
96349,
96350,GaiaAlerts
96361,LOSS
96383,GaiaAlerts
96396,GaiaAlerts
96406,ASAS-SN
96408,ISSP
96419,Pan-STARRS
96426,Pan-STARRS
96589,POSS
96740,ATLAS
96745,ATLAS
96788,ATLAS
96791,ATLAS
96793,ATLAS
97104,POSS
97277,GaiaAlerts
97353,POSS
97388,POSS
97390,
97404,POSS
97431,GaiaAlerts
97440,GaiaAlerts
97455,ASAS-SN
97476,ATLAS
97478,ATLAS
97482,
97484,ATLAS
97525,GaiaAlerts
97534,ASAS-SN
97535,GaiaAlerts
97548,ATLAS
97580,ISSP
97614,GaiaAlerts
97617,ATLAS
97624,ASAS-SN
97645,
97800,ATLAS
97858,ASAS-SN
97873,ATLAS
97913,ATLAS
97938,ATLAS
97939,ASAS-SN
98118,ATLAS
98140,ATLAS
98145,ATLAS
98147,ATLAS
98157,ASAS-SN
98169,ASAS-SN
98315,ATLAS
98318,ATLAS
98349,ATLAS
98355,ATLAS
98371,POSS
98376,ASAS-SN
98384,POSS
98390,POSS
98394,ATLAS
98418,ATLAS
98438,ATLAS
98484,XOSS
98490,GaiaAlerts
98516,ATLAS
98518,ATLAS
98543,GaiaAlerts
98569,ATLAS
98593,ASAS-SN
98621,ATLAS
98669,ATLAS
98670,ATLAS
98719,ATLAS
98720,ATLAS
98721,ATLAS
98741,ASAS-SN
98768,ASAS-SN
98792,GaiaAlerts
98854,Pan-STARRS
98887,ASAS-SN
99045,ISSP
99119,DLT40
